
Stage_Workout (min),Distance(mile),Speed (mph),Watts ,HR ,RPM 
55.8,17.508,18.58,128,0,113
55.9,17.539,18.75,131,0,110
56.0,17.569,17.02,102,0,108
56.1,17.599,18.80,132,0,111
56.2,17.630,18.24,122,0,110
56.3,17.661,19.18,139,0,114
56.4,17.693,19.02,136,0,111
56.5,17.723,18.41,125,0,113
56.6,17.755,19.18,139,0,112
56.7,17.786,18.12,120,0,112
56.8,17.816,18.41,125,0,111
56.9,17.846,18.24,122,0,114
57.0,17.877,17.95,117,0,110
57.1,17.906,16.89,100,0,103
57.2,17.935,18.35,124,0,111
57.3,17.965,17.77,114,0,112
57.4,17.995,18.01,118,0,110
57.5,18.025,18.18,121,0,116
57.6,18.056,18.80,132,0,111
57.7,18.087,19.12,138,0,111
57.8,18.118,18.86,133,0,106
57.9,18.150,19.39,143,0,115
58.0,18.183,19.65,148,0,116
58.1,18.216,19.70,149,0,117
58.2,18.249,19.50,145,0,113
58.3,18.280,19.18,139,0,111
58.4,18.313,19.34,142,0,114
58.5,18.346,19.70,149,0,115
58.6,18.376,16.28,91,0,90
58.7,18.400,13.61,58,0,87
58.8,18.422,13.98,62,0,100
58.9,18.447,15.71,83,0,106
59.0,18.472,13.80,60,0,103
59.1,18.495,14.25,65,0,106
59.2,18.519,14.34,66,0,111
59.3,18.542,13.61,58,0,108
59.4,18.566,15.40,79,0,108
59.5,18.593,15.78,84,0,107
59.6,18.619,15.25,77,0,109
59.7,18.643,14.34,66,0,111
59.8,18.666,13.10,53,0,93
59.9,18.686,11.61,40,0,91
60.0,18.707,11.74,41,0,85
60.1,18.724,9.65,27,0,69
60.2,18.739,8.68,22,0,63

Stage_11_Total,
Stage distance(mile),3.406,
Speed Max (mph),27.68,
Watts Max,198
HR Max,0
RPM Max,121
KCal,88

Stage_Totals
Total Time,60.2,minutes
Total_distance:,18.744,
Speed Avg(mph),18.67,
Watts Avg,140
HR Avg,0
RPM Avg,107
Speed Max (mph),27.68,
Watts Max,370
HR Max,0
RPM Max,125
KCal,594

